#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,bc,"is a mathematics language used for the dropdown calculator."
,dunst,"is a suckless notification system."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,libnotify,"allows desktop notifications."
,lsd, "Make ls look nice"
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,maim,"can take quick screenshots at your request."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,otf-libertinus,"provides the sans and serif fonts for LARBS."
,picom,"is for transparency and removing screen-tearing."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,polkit,"manages user policies."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulsemixer,"is an audio controller."
,ttf-dejavu,"properly displays emojis."
,ttf-font-awesome,"provides extended glyph support."
,ueberzugpp,"enables previews in the lf file manager."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,vim,"a tidier vim with some useful features"
,wireplumber,"is the audio system."
,xclip,"allows for copying and pasting from the command line."
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xset,"utility for configuring and ajusting X server"
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,abook,"is an offline addressbook usable by neomutt."
A,lf-git,"is an extensive terminal file manager that everyone likes."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
G,git@github.com:alexb7711/dmenu.git,"runs commands and provides a UI for selection."
G,git@github.com:alexb7711/dwm.git,"is the window manager."
G,git@github.com:alexb7711/dwmblocks.git,"serves as the modular status bar."
G,git@github.com:alexb7711/slock.git,"Allows you to lock your computer"
G,git@github.com:alexb7711/st.git,"is my custom build of suckless's terminal emulator."
G,git@github.com:alexb7711/tabbed.git,"Allows you to tab your everything"
