#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,dunst,"is a suckless notification system."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,libnotify-bin,"allows desktop notifications."
,libx11-dev,"Provides a client interface to the X Window Subsystem."
,libx11-xcb-dev,"Provides clients to mix calls to both Xlib and XCB ovec the same connection."
,libxcb-res0-dev,"Provides header and library to build softawre using libxcb-res."
,libxft-dev,"Provides support for antialiased fonts in the X Window Subsystem."
,libxinerama-dev,"Provides the development files for the Xinerama extension."
,lsd, "Make ls look nice"
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,mpv,"is the patrician's choice video player."
,newsboat,"is a terminal RSS client."
,nextcloud-desktop,"Sync with nextcloud server."
,picom, "Lightweight compositor for Linux"
,plasma-workspace-wallpapers,"Wallpapers for Plasma 5."
,poppler-utils,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulseaudio-utils,"ommand linu tools for PulseAudio sound server
,pulsemixer,"is an audio controller."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,vim,"its vim"
,wireplumber,"is the audio system."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xwallpaper,"sets the wallpaper."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-poppler,"allows mupdf pdf compatibility in zathura."
G,git@github.com:alexb7711/dmenu.git,"runs commands and provides a UI for selection."
G,git@github.com:alexb7711/dwm.git,"is the window manager."
G,git@github.com:alexb7711/dwmblocks.git,"serves as the modular status bar."
G,git@github.com:alexb7711/slock.git,"Allows you to lock your computer"
G,git@github.com:alexb7711/st.git,"is my custom build of suckless's terminal emulator."
G,git@github.com:alexb7711/tabbed.git,"Allows you to tab your everything"
